sc_code,sc_name,ident,match_method,notes
1,"Abbotsford, British Columbia",CYXX,auto,
7,"Baie-Comeau, Quebec",CYBC,auto,
5069,"Boundary Bay, British Columbia",CZBB,auto,
11,"Brandon Municipal, Manitoba",CYBR,auto,
4980,"Buffalo Narrows, Saskatchewan",CYVT,auto,
13,"Calgary International, Alberta",CYYC,auto,
5055,"Calgary/Springbank, Alberta",CYBW,auto,
105,"Campbell River, British Columbia",CYBL,auto,
60,"Castlegar, British Columbia",CYCG,auto,
63,"Charlottetown, Prince Edward Island",CYYG,auto,
55,"Chibougamau/Chapais, Quebec",CYMT,auto,
4992,"Chicoutimi/St-Honoré, Quebec",CYRC,auto,
56,"Churchill, Manitoba",CYYQ,auto,
65,"Comox, British Columbia",CYQQ,manual,CFB Comox / Comox Valley. Auto-match picked the Comox seaplane base.
68,"Cranbrook, British Columbia",CYXC,auto,
69,"Dauphin, Manitoba",CYDN,auto,
71,"Dawson Creek, British Columbia",CYDQ,auto,
72,"Deer Lake, Newfoundland and Labrador",CYDF,auto,
50,"Dryden Regional, Ontario",CYHD,auto,
52,"Edmonton International, Alberta",CYEG,manual,"Edmonton International. Auto-match picked CA-1292, a malformed OurAirports record named ""YEG"" with Saskatchewan coordinates."
5011,"Edmonton/Villeneuve, Alberta",CZVL,auto,
47,"Flin Flon, Manitoba",CYFO,auto,
43,"Fort McMurray, Alberta",CYMM,auto,
45,"Fort Nelson, British Columbia",CYYE,auto,
35,"Fort Smith, Northwest Territories",CYSM,auto,
36,"Fort St. John, British Columbia",CYXJ,auto,
37,"Fredericton International, New Brunswick",CYFC,auto,
27,"Gander International, Newfoundland and Labrador",CYQX,auto,
28,"Gaspé, Quebec",CYGP,auto,
24,"Goose Bay, Newfoundland and Labrador",CYYR,auto,
25,"Grande Prairie, Alberta",CYQU,auto,
21,"Halifax/Robert L. Stanfield International, Nova Scotia",CYHZ,auto,
22,"Hall Beach, Nunavut",CYUX,auto,
23,"Hamilton, Ontario",CYHM,manual,John C. Munro Hamilton International. Auto-match picked Hampton.
19,"Havre St-Pierre, Quebec",CYGV,manual,Havre-Saint-Pierre Airport. Auto-match picked the seaplane base.
20,"Hay River, Northwest Territories",CYHY,manual,Hay River / Merlyn Carter. Auto-match picked the seaplane base.
48,"High Level, Alberta",CYOJ,auto,
17,"Inuvik/Mike Zubko, Northwest Territories",CYEV,auto,
38,"Iqaluit, Nunavut",CYFB,auto,
18,"Island Lake, Manitoba",CYIV,auto,
113,"Kamloops, British Columbia",CYKA,manual,Kamloops airport. Auto-match picked Knutsford Airfield.
100,"Kelowna, British Columbia",CYLW,auto,
101,"Kenora, Ontario",CYQK,auto,
102,"Kingston, Ontario",CYGK,auto,
5013,"Kitchener/Waterloo, Ontario",CYKF,manual,Region of Waterloo International (Breslau). Auto-match picked Sexsmith (Exeter).
40,"Kuujjuaq, Quebec",CYVP,auto,
148,"Kuujjuarapik, Quebec",CYGW,auto,
103,"La Grande Rivière, Quebec",CYGL,auto,
104,"La Ronge, Saskatchewan",CYVC,auto,
5100,"Langley, British Columbia",CYNJ,auto,
98,"Lethbridge, Alberta",CYQL,manual,Lethbridge County Airport. Auto-match picked Gunnlaugson.
4118,"Lloydminster, Alberta",CYLL,auto,
96,"London, Ontario",CYXU,auto,
9,"Lourdes-de-Blanc-Sablon, Quebec",CYBX,auto,
92,"Medicine Hat, Alberta",CYXH,manual,Medicine Hat Regional. Auto-match picked Schlenker Airport.
91,"Moncton/Greater Moncton International, New Brunswick",CYQM,auto,
86,"Mont-Joli, Quebec",CYYY,auto,
4991,"Montréal (St-Hubert)/Montréal Metropolitan, Quebec",CYHU,auto,
90,"Montréal/Mirabel International, Quebec",CYMX,auto,
87,"Montréal/Pierre Elliott Trudeau International, Quebec",CYUL,auto,
88,"Moosonee, Ontario",CYMO,auto,
4710,"Muskoka, Ontario",CYQA,auto,
84,"Nanaimo, British Columbia",CYCD,auto,
85,"Natashquan, Quebec",CYNA,auto,
78,"Norman Wells, Northwest Territories",CYVQ,auto,
79,"North Bay, Ontario",CYYB,manual,North Bay Jack Garland. Auto-match picked the seaplane base.
80,"Norway House, Manitoba",CYNE,auto,
5070,"Oshawa, Ontario",CYOO,auto,
29,"Ottawa/Gatineau, Quebec",CYND,auto,
76,"Ottawa/Macdonald-Cartier International, Ontario",CYOW,auto,
73,"Peace River, Alberta",CYPE,auto,
154,"Penticton, British Columbia",CYYF,auto,
157,"Pickle Lake, Ontario",CYPL,auto,
5075,"Pitt Meadows, British Columbia",CYPK,auto,
145,"Port Hardy, British Columbia",CYZT,auto,
151,"Prince Albert, Saskatchewan",CYPA,auto,
153,"Prince George, British Columbia",CYXS,auto,
